shipment_id,supplier_id,product_id,warehouse_id,order_date,ship_date,delivery_date,quantity,unit_price,shipping_cost,status,origin_country,destination_country
SH001,SUP001,PRD001,WH001,2025-01-05,2025-01-06,2025-01-10,500,12.50,250.00,delivered,KE,GB
SH002,SUP002,PRD002,WH002,2025-01-07,2025-01-08,2025-01-14,1200,3.75,180.00,delivered,CN,US
SH003,SUP001,PRD003,WH001,2025-01-10,2025-01-11,2025-01-15,300,45.00,520.00,delivered,KE,DE
SH004,SUP003,PRD004,WH003,2025-01-12,2025-01-13,2025-01-20,800,8.20,310.00,delivered,IN,US
SH005,SUP002,PRD005,WH002,2025-01-15,2025-01-16,2025-01-22,2000,1.50,95.00,delivered,CN,GB
SH006,SUP004,PRD001,WH004,2025-01-18,2025-01-19,2025-01-25,150,12.50,180.00,delivered,DE,US
SH007,SUP001,PRD006,WH001,2025-01-20,2025-01-21,2025-01-28,600,22.00,420.00,in_transit,KE,NG
SH008,SUP003,PRD002,WH003,2025-01-22,2025-01-23,,450,3.75,140.00,in_transit,IN,ZA
SH009,SUP005,PRD007,WH005,2025-01-25,2025-01-26,,1000,6.80,280.00,in_transit,BR,US
SH010,SUP002,PRD003,WH002,2025-01-28,,,750,45.00,610.00,processing,CN,DE
SH011,SUP004,PRD008,WH004,2025-02-01,2025-02-02,2025-02-08,200,95.00,750.00,delivered,DE,GB
SH012,SUP001,PRD004,WH001,2025-02-03,2025-02-04,2025-02-10,900,8.20,290.00,delivered,KE,US
SH013,SUP005,PRD009,WH005,2025-02-05,2025-02-06,,350,18.50,330.00,in_transit,BR,NG
SH014,SUP003,PRD005,WH003,2025-02-08,,,1800,1.50,85.00,processing,IN,GB
SH015,SUP002,PRD010,WH002,2025-02-10,2025-02-11,2025-02-16,400,31.00,460.00,delivered,CN,ZA
SH016,SUP001,PRD001,WH001,2025-02-12,2025-02-13,2025-02-18,550,12.50,260.00,delivered,KE,US
SH017,SUP004,PRD006,WH004,2025-02-15,2025-02-16,,700,22.00,400.00,in_transit,DE,IN
SH018,SUP005,PRD007,WH005,2025-02-18,,,1100,6.80,300.00,processing,BR,DE
SH019,SUP003,PRD008,WH003,2025-02-20,2025-02-21,2025-02-27,250,95.00,720.00,delivered,IN,US
SH020,SUP002,PRD009,WH002,2025-02-22,2025-02-23,,500,18.50,350.00,in_transit,CN,GB
